"treatment_effect","pre_post_correlation","ANCOVA_EDR","ANCOVA_EDR_MCSE","ANCOVA_bias","ANCOVA_bias_MCSE","ANCOVA_est_var","change_score_EDR","change_score_EDR_MCSE","change_score_bias","change_score_bias_MCSE","change_score_est_var","post_score_EDR","post_score_EDR_MCSE","post_score_bias","post_score_bias_MCSE","post_score_est_var","REPLICATIONS","SIM_TIME","RAM_USED","SEED","COMPLETED"
0,0,0.0447,0.0020664440471496,-0.000266214640718648,0.0019839127104416,0.0393590964265173,0.0508,0.00219589070766284,0.000624024593510676,0.00283532226304958,0.0803905233534459,0.0464,0.00210349803898173,-0.000465523542895277,0.00197644884965566,0.039063500553052,10000,9.91999999999825,"55.5 Mb",1781592037,"Tue Oct 24 16:34:53 2023"
0.2,0,0.1655,0.00371631201596421,-0.00228425978133412,0.00202489189731789,0.0410018719582363,0.1111,0.00314255930731625,-0.00104641721089151,0.00285558178083372,0.0815434730702947,0.1671,0.00373065128362328,-0.00236508729713986,0.00201447440275672,0.0405810711936204,10000,10.2900000000081,"55.5 Mb",1228985497,"Tue Oct 24 16:35:03 2023"
0.5,0,0.6907,0.00462205051897964,-0.000854498477184837,0.00201275636480811,0.0405118818407555,0.4137,0.00492495999983756,-0.000411273812631114,0.00281350120898145,0.0791578905294006,0.694,0.00460829686543738,-0.000910129326107373,0.00200203305448684,0.0400813635125792,10000,10.320000000007,"55.5 Mb",608797924,"Tue Oct 24 16:35:13 2023"
0,0.5,0.0496,0.00217117111255654,-0.000771809330568871,0.00173474752585185,0.0300934897844912,0.0474,0.00212492917529032,-0.00129542036997589,0.00198228545084873,0.0392945560864654,0.05,0.00217944947177034,-0.000796616697924924,0.00199783252273026,0.0399133478887874,10000,10.75,"55.5 Mb",1016144506,"Tue Oct 24 16:35:24 2023"
0.2,0.5,0.2108,0.00407876648019962,0.00149063058436835,0.00173812004747248,0.0302106129942573,0.1715,0.0037694528780713,0.000376469590844855,0.00202392099342804,0.0409625618763875,0.1646,0.00370819147294203,0.00224271590768896,0.00197107860723174,0.0388515087588662,10000,10.3899999999994,"55.5 Mb",674280576,"Tue Oct 24 16:35:35 2023"
0.5,0.5,0.813,0.00389911528426642,0.00206045422387846,0.00175365429862162,0.0307530339907407,0.6978,0.00459211454560968,0.00201885394152854,0.00200371424294912,0.0401487076739718,0.6973,0.00459426501194696,0.00179344202048911,0.00201773769413167,0.040712654023198,10000,10.8300000000017,"55.5 Mb",1965996056,"Tue Oct 24 16:35:46 2023"
0,0.7,0.0487,0.00215240121724552,-0.00214030743457601,0.00143240213849337,0.0205177588636039,0.0503,0.0021856328602947,-0.00317236209413044,0.00154695593739496,0.0239307267224151,0.05,0.00217944947177034,-9.70086459537022e-05,0.00199004986653101,0.039602984712801,10000,10.6499999999942,"55.5 Mb",1866875236,"Tue Oct 24 16:35:56 2023"
0.2,0.7,0.2782,0.00448112441246614,-0.00227625955296521,0.00144725366136092,0.0209454316032259,0.2459,0.00430619542055397,-0.00265802800509588,0.00155020509765157,0.0240313584478492,0.1641,0.00370366291662727,-0.000770870827044931,0.00200193635744259,0.040077491792505,10000,11.1699999999983,"55.5 Mb",1985540261,"Tue Oct 24 16:36:08 2023"
0.5,0.7,0.9296,0.00255819936674216,0.00129739938260453,0.00144687417955633,0.0209344489146679,0.8913,0.00311262445534311,0.00122085110234616,0.00155742316842816,0.024255669255568,0.6944,0.00460661090173676,0.0010596671230427,0.00199502674311725,0.0398013170575301,10000,13.0799999999872,"55.5 Mb",2053971476,"Tue Oct 24 16:36:21 2023"
